M1,M2,M3,Inclination,Orientation
-205.686691831809,173.834249127102,31.001313900041,-44.9160465914512,-8.29738571301219
-205.726798877469,174.168856479458,31.4334959649082,-44.9288808460621,-8.22708379154964
-205.082794315741,173.691009678319,31.6350052214557,-44.7695412832363,-8.16067798309397
-205.29593461553,173.544332482765,32.0000366327336,-44.8356033170149,-8.09369921684318
-206.057968483054,174.215839018659,31.9485277269513,-44.9909894710543,-8.08642265284502
-206.181154409007,174.321263252963,31.3763720727337,-44.9629718348724,-8.27928024668605
-205.836233816339,174.294334236592,31.4827703352894,-44.8924980260713,-8.22651083375451
-205.351511521658,173.837686873872,31.8622975787841,-44.8250608935844,-8.16995989937509
-205.311404475999,173.786120672311,31.5331333254814,-44.8255765556001,-8.14091093916196
-204.635314277744,173.602201220074,30.8915924822735,-44.6771231908817,-8.33548740638839
-204.708079917726,173.986655900606,31.0987167252133,-44.6613668515156,-8.27475388010452
-205.305674898047,174.317825506192,31.7010672552343,-44.8185291747199,-8.19396683099107
-205.969732982604,174.136770842931,31.8085541376008,-44.9495646224664,-8.19081556311786
-206.134171869807,173.947121812742,31.4278809785159,-44.9471009039473,-8.25160638518124
-205.480427025562,173.700749960836,31.3047523483423,-44.8172686675707,-8.33239343429468
-205.440319979903,173.721376441461,31.8824656931727,-44.8199615692078,-8.15964665906274
-205.520534071221,173.817633351043,31.636151137046,-44.8498126703341,-8.20267578947706
-205.299945320096,173.766067149481,31.1782432671774,-44.7690829170002,-8.31079292541825
-205.467248996274,174.100674501837,31.5308987900804,-44.8007674830709,-8.29853162860245
-205.490740265875,174.280010291713,31.5107306756918,-44.7856413972794,-8.22502114348717
-204.994558815291,173.967175335572,31.1770973515872,-44.7235327722873,-8.38407422741548
-205.085086146922,173.833103211511,31.5891113020657,-44.713448715093,-8.22169798827541
-205.888945933491,174.302355645723,31.9194214709586,-44.9326050717305,-8.222099058732
-206.14792285689,174.202660989371,31.7357884976192,-44.9421734669092,-8.23825646855469
-205.75487380943,173.735700386339,31.3551153385343,-44.8337125562909,-8.35422312628917
-205.36297067756,173.457815855701,31.6965981844323,-44.7823755378472,-8.29549495228826
0,0,0,0.079984908200263,-0.00364401157703226
-0.571009165669583,0.54861682912028,0.497113652915971,0.0363484425230994,-0.0277540755961372
-2.25604423663942,2.25268670395995,2.12169136325919,-0.476448784118987,-0.0523798016308601
-5.07526587884678,5.02039944038506,4.85693458143423,-1.453817379787,-0.070691532763241
-8.96931050809596,8.89992531910562,8.68604017418328,-2.70202312521335,-0.0955922785396266
-13.9651014111801,13.9505482831838,13.6135345080879,-4.40938005892369,-0.134490383251058
-20.0524915055476,20.0334693067492,19.6236898916717,-6.32048078458255,-0.192811757217425
-27.333409982952,27.2225999453737,26.8497190123026,-8.38204022724277,-0.370543265267006
-35.5895599234487,35.516794283467,35.0454219054129,-9.25694678040754,-1.00829112787122
-44.9473931124228,44.8969728264513,42.9387749700327,-9.93498503516535,-1.21781606397261
-55.4226085934611,55.5412681528327,49.7427633787702,-13.5660477660274,-0.8472384212379
-66.9816310397689,67.1437780957909,55.4438653276605,-16.2521312053802,-1.08050672836951
-79.6331121140526,79.0813537573416,60.0431121407346,-20.1657767208008,-1.4466038411463
-93.251172988722,89.9967727123789,63.5524786359109,-23.4310058994719,-1.22530462235497
-107.175193325991,99.798934671477,66.0041650412757,-27.31199282057,-1.33660167405914
-120.926180409131,108.623630632082,67.3311352947987,-30.2120187006247,-1.65786483936694
-134.074988849588,116.215894375361,67.5752153155244,-33.4575381311432,-1.56736042604807
-146.122572407804,122.721257181276,66.9673070948906,-36.0026739528939,-1.59896477802749
-157.22878630862,128.12768693613,66.6556180543394,-38.3920225501484,-1.83220443726935
-167.126632219505,132.423724484021,66.9231893446655,-40.4165689192432,-1.82535759161753
-175.902053809729,135.627131516598,67.2726935996953,-42.185175041253,-1.83144240340182
-183.584844884638,137.760826345665,67.0463752706187,-43.6538377575119,-1.97808522148761
-190.113698960154,138.731989808412,67.2612344437927,-44.8625495221198,-1.97209208295054
-195.612947877819,138.635159941034,67.2302947228557,-45.7891941641849,-1.95527577166345
-199.934768526491,138.066785808265,66.7140597494428,-46.5337528189574,-2.04261745795319
-203.153645419536,138.435197670534,67.1386214756347,-47.0953087539651,-2.05977754391736
-205.27358926152,138.342951465518,67.2291488072654,-47.4368488956426,-2.04242265230285
-206.298610757009,138.247840471526,67.2893093757541,-47.6054703747496,-2.08616225038313
-206.211521172149,138.613960502615,67.2348783852167,-47.5799737528663,-2.08788112376853
-205.585851259866,138.302844419859,67.1941983817624,-47.4041903013202,-2.06102659191074
-204.956743600813,137.9567779116,67.1168490794198,-47.3260961538438,-2.08429440797101
-204.541922157138,137.998603830644,66.8441211689375,-47.2035977772449,-2.08429440797101
-205.168165027216,138.349826959059,67.1632586608254,-47.2693733321259,-2.07665688056191
-205.904988751754,138.628857405288,67.3007685316568,-47.4393699099412,-2.09708855553628
-205.765760007537,138.224349201926,67.2870175445736,-47.4356456842729,-2.09708855553628
-204.800899080537,138.023241015835,66.8137544057956,-47.2064625662205,-2.0930377439247
-204.702350339775,138.430614008173,66.9862147021299,-47.1986703402068,-2.09856678664771
-205.497042801621,138.563540216643,67.2560778236366,-47.3333154220625,-2.09856678664771
-206.054530736283,138.652348674888,67.3643668469163,-47.4303171767781,-2.09856678664771
-206.037914960225,138.431759923763,67.345459239677,-47.460569348361,-2.10435938995649
-205.185926718865,138.253570049477,66.9220434290753,-47.2581433593413,-2.10435938995649
-204.656513716164,137.982561012381,66.7295296099113,-47.1742050423547,-2.10435938995649
-205.039249523312,138.054180736772,67.1695611965718,-47.2117337779357,-2.10435938995649
-205.917020865452,138.676985860079,67.4898446040499,-47.4239573452522,-2.11138958210274
-206.122139756109,138.463272602495,67.0194462542475,-47.4137586964989,-2.11138958210274
-205.667211266775,137.900055089882,66.8830822990064,-47.3408211691787,-2.11624826420545
-205.248952076329,137.82614353431,67.0733042869898,-47.3259815622848,-2.11624826420545
-205.305674898047,138.44035429069,67.5133358736503,-47.3126889414378,-2.1107593285281
-206.072865385728,138.85574869216,67.55573475049,-47.4127273724676,-2.11545758244817
-206.395440624386,138.560675427668,67.4159330484781,-47.4488810093404,-2.11729104739259
-206.025882846527,138.056472567952,66.9524101922172,-47.4476205021911,-2.11729104739259
-205.502772379572,138.334357098591,67.2795690932369,-47.3690106926991,-2.12115851250972
-205.624812389935,138.608803882458,67.51218995806,-47.322314632396,-2.12115851250972
-205.780656910211,138.199712016735,67.2795690932369,-47.3758288904612,-2.12684225383742
-205.595591542384,138.098871444792,67.0165814652719,-47.3651718754718,-2.12684225383742
-205.200823621538,138.381339637792,67.214251904592,-47.2661647684732,-2.13041751047904
-205.046125016853,138.517703593033,67.1202868261906,-47.2238804831925,-2.13041751047904
-205.758311556201,138.741730090929,67.4778124903522,-47.326783703198,-2.13538505456282
-206.1937594805,138.367588650708,67.4841150260986,-47.4191444997731,-2.14389920739847
-205.835087900748,138.078817921962,67.0733042869898,-47.3847097362857,-2.14389920739847
-205.566943652627,138.385923300153,67.139767391225,-47.3408211691787,-2.14867194583191
-205.078783611176,138.431759923763,66.9971009002374,-47.1680170981673,-2.14426590038735
-204.61583371271,138.028397635991,66.8630287761768,-47.2145412711319,-2.15027049808032
-0.0324691744753867,0.0302298835246769,0.0201532747817111,0.111646555959192,0
-0.866592935557419,0.860989408321039,0.79157557144094,0.0584588838371976,-0.0177731508049581
-2.84497036552054,2.80690304961205,2.71397502481978,-0.522778151433266,-0.0379240764597092
-5.89596489501422,5.83884100283968,5.71568945435426,-1.50487937848906,-0.0520131086419761
-10.0464138671624,10.0419447963604,9.8112719880407,-2.8550601522928,-0.0837836183819803
-15.3053069897707,15.2156963906122,15.0074835278617,-4.66812779920477,-0.111102246053818
-21.6580338390632,21.6401002600756,21.3042324005699,-6.58587483528715,-0.168357918521241
-29.0968594848057,29.0867754276114,28.7027218175352,-8.72507005918759,-0.314777283066923
-37.7179262450211,37.6473951404405,37.3104386611241,-9.54577480493298,-0.808300209480809
-47.3389189492989,47.2896445789176,46.9201440968378,-10.4654293618975,-1.00008637224495
-58.0658347897381,57.7696156096555,57.2677618769004,-14.1174050522818,-0.729896664795107
-69.8882459344676,67.1787285212939,66.7329673566821,-16.8351157619259,-0.874322136213733
-82.8118819614384,75.5118266936766,75.2242018805209,-20.7280202051627,-1.22706933236398
-96.6986600420242,82.7591698442864,82.5064954566337,-24.0742083202858,-1.07608922376905
-110.450220082959,88.9688864279142,88.6910018972758,-27.8872424468814,-1.1516165203232
-124.157662373669,94.0006017847531,93.7719916244959,-30.7904195948093,-1.44151597592554
-137.05895304663,97.9259356391944,97.7614967519919,-34.0186356999149,-1.40269235572748
-149.008560821878,100.770671092019,100.681289675979,-36.5213726448258,-1.40539098694254
